route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8746,3,2454996,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2454997,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2454998,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2454999,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455000,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455001,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455002,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455003,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455004,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455005,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455006,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455007,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455008,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455009,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455010,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455011,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455012,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455013,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455014,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455015,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455016,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455017,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455018,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455019,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455020,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455021,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455022,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455023,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455024,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455025,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455026,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455027,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455028,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455029,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455030,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455031,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455032,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455033,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455034,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455035,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455036,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455037,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455038,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455039,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455040,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455041,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455042,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455043,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455044,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455045,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455046,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455047,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455048,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455049,GOLD NORTHBOUND TO DORAVILLE STATION,0,849874,56371
8746,3,2455050,GOLD NORTHBOUND TO DORAVILLE STATION,0,849875,56371
8746,3,2455051,GOLD NORTHBOUND TO DORAVILLE STATION,0,849872,56371
8746,3,2455052,GOLD NORTHBOUND TO DORAVILLE STATION,0,849873,56371
8746,3,2455053,GOLD NORTHBOUND TO DORAVILLE STATION,0,849871,56371
8746,3,2455055,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455056,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455057,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455058,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455059,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455060,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455061,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455062,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455063,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455064,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455065,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455066,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455067,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455068,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455069,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455070,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455071,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455072,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455073,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455074,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455075,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455076,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455077,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455078,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455079,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455080,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455081,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455082,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455083,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455084,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455085,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455086,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455087,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455088,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455089,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455090,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455091,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455092,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455093,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455094,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455095,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455096,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455097,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455098,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455099,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
8746,3,2455100,GOLD SOUTHBOUND TO AIRPORT STATION,1,849871,56381
8746,3,2455101,GOLD SOUTHBOUND TO AIRPORT STATION,1,849874,56381
8746,3,2455102,GOLD SOUTHBOUND TO AIRPORT STATION,1,849875,56381
8746,3,2455103,GOLD SOUTHBOUND TO AIRPORT STATION,1,849872,56381
8746,3,2455104,GOLD SOUTHBOUND TO AIRPORT STATION,1,849873,56381
